extras,language,name,quantity,scryfall_id
"","en","Honor the God-Pharaoh","6","75844d13-74f5-4008-9bc6-2f6d04f378aa"
"","en","Chandra's Pyrohelix","6","1c482f51-9222-4e9e-a9fd-bb14a0afe156"
"","en","Jaya's Greeting","7","ec66f169-5cf9-4d7c-a5ab-c64fc4801358"
"","en","Skophos Reaver","4","32691e3f-dea9-45ac-96fe-96b34d5116a9"
"","en","Faithless Salvaging","6","c6ed4077-4ed5-48fb-91c9-a9195d652978"
"","en","Unholy Heat","4","2b73d294-6ab1-4051-9b0f-d8e335d37674"
"","en","Revolutionist","7","bb8f3008-a3ba-4f73-afa6-ad81074b3196"
"","en","Arcbound Tracker","5","881175c4-fee5-4c39-ad25-145ef73569ce"
"","en","Burning Prophet","4","01c5b095-13c9-4673-bf0c-553de455e521"
"","en","Viashino Lashclaw","6","3457e346-a5de-4624-b577-f59d4c186537"
"","en","Nahiri's Stoneblades","8","0a14331e-8da5-4455-ac69-e510684e989c"
"","en","Grim Initiate","6","29b6ec9d-3861-48bf-a198-dc7efba5d89c"
"","en","Blindblast","8","9feaa623-3422-4997-af7b-f75074af5fa1"
"","en","Demolish","10","b00211dd-6dd7-40d9-80f3-f909f6d112db"
"","en","Goblin Assailant","5","8cfefb65-b6e4-44a1-baa9-d3c00ee8ba96"
"","en","Raging Kronch","7","ae38aa2d-6c0e-409a-bfc7-ed4281457670"
"","en","Invading Manticore","7","674e408b-f052-451c-9bf9-ac6f98753a9d"
"","en","Sarkhan's Catharsis","6","2f4b6f26-c66b-4048-9503-af0a886ef14f"
"","en","Tavern Scoundrel","5","c71f0329-27ec-463d-8fde-edbdc378ee0f"
"","en","Mine Collapse","6","56e2e8b5-660d-4469-a4fe-2367dfadb709"
"","en","Samut's Sprint","5","94bda699-2b5d-4f5b-bee5-792b99d2b64a"
"","en","Ahn-Crop Invader","7","2dea2466-5c7f-40ce-b749-100ae89d2c90"
"","en","Mount Velus Manticore","4","667a356c-b10d-42f2-bb2f-c3fd9affa4bd"
"","en","Arcbound Slasher","7","dcafff1a-e220-40ff-8c00-de6037219bc6"
"","en","Gargadon","8","4b672c59-7376-455d-961e-ce94d47a5ca4"
"","en","Goblin Fireslinger","11","e6c043b7-1eec-4d11-986c-8fb3823fc3b1"
"","en","Spellgorger Weird","6","baefa06e-28ba-41b9-866e-1ed0c4969852"
"","en","Lightning Spear","1","f72fcda4-feb4-46e4-87d9-88bd95474fe9"
"","en","Heartfire","6","af482a14-a144-4e60-bd04-a548a3c89f5a"
"","en","Turret Ogre","7","d47e9653-2a3a-4d37-8f3d-3dab4f468338"
"","en","Galvanic Relay","4","06373318-e548-4664-b227-17e3b6fd0a88"
"","en","Goblin Assault Team","6","880047fd-d258-40fb-bcd5-37cb26678dfe"
"","en","Chainwhip Cyclops","6","d2f18df2-5910-4c5d-8b04-6fe5d04e8150"
"","en","Belligerent Guest","2","1bb844c4-f41c-4411-a80a-c19e1d97b272"
"","en","Blood Petal Celebrant","3","0c3a4927-f06c-424d-92a9-b40cf8e3e209"
"","en","Battle Plan","4","2bc1e907-0e77-42ee-9eca-eae632020204"
"","en","Lacerate Flesh","1","c7e0c0dc-2d35-4e5a-81da-dd5f35b8e579"
"","en","Falkenrath Celebrants","1","4c3c5778-4760-4a8c-8d8d-693e29a0a74b"
"","en","Stonefury","8","9c111bf0-dedb-48eb-982c-f877120f12c3"
"","en","Volt Charge","1","aa88011c-a19d-4faa-8da6-86b9980cd571"
"","en","Monastery Swiftspear","4","e8b9d59d-bac9-4092-901e-2b861c186868"
"","en","Welding Sparks","1","346cc190-6825-4226-8ea5-71abe788454d"
"","en","Dragon Hatchling","1","c5d3a18c-d030-494d-b7b1-4d1d1e27fbbf"
"","en","Goblin Piker","13","083ec3e7-950c-4e9d-aba5-02ed13d723f0"
"","en","Oxidda Daredevil","1","4b0bde7b-dc2d-45d2-b124-69b4b51ef3d9"
"","en","Goblin Tunneler","9","7d1ebba6-25ed-448f-b230-7c4a0ca675fa"
"","en","Wall of Torches","3","76f69b92-7435-4aa8-9d90-89ea078befb1"
"","en","Jackal Familiar","1","0a47a2dc-f7f2-4103-9ebe-8cd8b83915ae"
"","en","Goblin Balloon Brigade","2","485e9d38-1536-4af6-9b58-00c08c07e222"
"","en","Goblin Arsonist","11","fa4bf664-3b92-4598-b905-2bc090958c8b"
"","en","Bloodcrazed Goblin","1","f4ec6fc4-efbf-4071-860e-ba244e27e2d3"
"","en","Furnace Scamp","9","97538294-058c-47d4-b7a8-4db3753a6628"
"","en","Fling","9","8f42d773-c742-4465-b6d5-31feaba49146"
"","en","Chandra's Outrage","11","edbfe793-6644-43ed-bbe1-e122c01c5e53"
"","en","Act of Treason","15","78fec7e6-5ed9-46dc-93b4-7a054d763403"
"","en","Hill Giant","4","14c2be6a-9ca6-4d3a-8dd0-db4ea40799f8"
"","en","Ogre Menial","11","6271c5c1-5f39-4908-b838-0f34c74e912e"
"","en","Canyon Minotaur","1","3469d73e-6de1-4b91-83e3-b1714ac29268"
"","en","Blood Ogre","7","3f249a72-7568-4603-94f4-01a605fc1771"
"","en","Blisterstick Shaman","1","f8187e90-6a60-4ed0-9b3a-3a679743b7d0"
"","en","Cinder Pyromancer","2","b6125689-0098-4e52-bed8-24840d22cdc1"
"","en","Arc Runner","3","32014715-7faa-412a-b8b4-751102e6b8a3"
"","en","Vulshok Heartstoker","2","9d3152bc-5c59-4e98-95de-a51de05a3c98"
"","en","Goblin Sky Raider","2","ebbd596b-56c2-475c-93e4-c72f9f29281b"
"","en","Manic Vandal","8","985a5866-8c62-46af-a0c0-e69d01d87f4f"
"","en","Razor Swine","8","2fb022a3-5f9e-491e-8340-087e33f927d6"
"","en","Fiery Hellhound","14","8980efa5-bd21-4980-91a7-5e66528b1011"
"","en","Koth's Courier","2","978cc53c-c038-4442-bd46-e0b9e8cdd924"
"","en","Kiln Fiend","2","6c957c94-3d2d-4b98-8990-cd8909462081"
"","en","Titan's Strength","10","30f1bfbe-7cfd-4b11-be95-0df327a83c12"
"","en","Sparkmage's Gambit","11","f10b4edf-5f0e-4edd-88f9-2e3e7d9cad0a"
"","en","Pirate's Pillage","9","1097e866-9d24-43b6-bafb-b6da05b47a30"
"","en","Storm Fleet Pyromancer","9","189836c8-3ffb-4734-8d3e-6a21a28335be"
"","en","Fiery Fall","9","1ed3229f-40ab-420d-a41a-57f1ff8ab7ad"
"","en","Gorehorn Minotaurs","7","87573fa7-5593-4810-bc4a-0caa55577be5"
"","en","Kruin Striker","10","24da0851-c349-4b2c-bedf-21e3c2d35922"
"","en","Rift Bolt","9","4ccd0ada-92b2-48f3-b5ae-96346fc138b6"
"","en","Living Lightning","9","0104b9b6-7727-45e9-931f-28f7facf8692"
"","en","Purphoros's Emissary","9","3dd318d3-3d84-4f3f-a48f-6a242474a4a2"
"","en","Hero of the Games","10","9abd74bb-01b8-4382-90d4-0ffc43e5295d"
"","en","Hissing Iguanar","10","2268cf4b-de6d-4447-86e8-f8298728a3bd"
"","en","Lava Coil","10","802c39df-4b92-4acc-92f9-bebd3d405471"
"","en","Monastery Swiftspear","7","d6bfa227-4309-40ed-952c-279595eab17e"
"","en","Dark-Dweller Oracle","11","bd35664f-b99d-46b6-988e-8f2814b0a854"
