"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","A Little Chat","snc","Near Mint","English","","","2023-05-11 04:29:57.457000","47","False","False",""
"1","1","Abaddon the Despoiler","40k","Near Mint","English","foil","","2023-05-11 04:16:09.937000","2","False","False",""
"1","1","Abandoned Sarcophagus","c20","Near Mint","English","","","2023-05-11 04:40:06.800000","236","False","False",""
"1","1","Aberrant","40k","Near Mint","English","foil","","2023-05-11 04:16:48.350000","86★","False","False",""
"4","4","Abiding Grace","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","1","False","False",""
"1","1","Aboleth Spawn","clb","Near Mint","English","","","2023-05-11 04:27:45.263000","662","False","False",""
"1","1","Abomination of Llanowar","khc","Near Mint","English","","","2023-05-11 04:37:44.947000","81","False","False",""
"1","1","Abrade","cmr","Near Mint","English","","","2023-05-11 04:38:20.830000","410","False","False",""
"1","1","Abrade","brc","Near Mint","English","","","2023-05-11 04:15:30.133000","111","False","False",""
"5","5","Absorb","rna","Near Mint","English","","","2023-05-11 03:39:29.403000","151","False","False",""
"1","1","Abstruse Interference","ogw","Near Mint","English","","","2023-05-11 03:39:29.403000","40","False","False",""
"1","1","Abundance","40k","Near Mint","English","foil","","2023-05-11 04:16:48.350000","210★","False","False",""
"1","1","Abundance","znc","Near Mint","English","","","2023-05-11 04:38:36.217000","58","False","False",""
"1","1","Abundant Growth","afc","Near Mint","English","","","2023-05-11 04:34:00.793000","150","False","False",""
"1","1","Abundant Growth","dmc","Near Mint","English","","","2023-05-11 04:24:17.887000","128","False","False",""
"8","8","Abundant Harvest","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","147","False","False",""
"2","2","Abyssal Specter","mm3","Near Mint","English","","","2023-05-11 03:39:29.403000","59","False","False",""
"1","1","Abzan Ascendancy","c20","Near Mint","English","","","2023-05-11 04:39:50.937000","198","False","False",""
"1","1","Abzan Ascendancy","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","165","False","False",""
"1","1","Abzan Battle Priest","moc","Near Mint","English","","","2023-05-11 04:13:21.283000","164","False","False",""
"4","4","Abzan Beastmaster","frf","Near Mint","English","","","2023-05-11 03:39:29.403000","119","False","False",""
"1","1","Abzan Charm","c20","Near Mint","English","","","2023-05-11 04:39:50.937000","199","False","False",""
"6","6","Abzan Charm","dmc","Near Mint","English","","","2023-05-11 03:39:29.403000","138","False","False",""
"4","4","Abzan Falconer","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","4","False","False",""
"1","1","Abzan Falconer","mic","Near Mint","English","","","2023-05-11 04:33:40.623000","77","False","False",""
"1","1","Abzan Falconer","moc","Near Mint","English","","","2023-05-11 04:13:21.283000","165","False","False",""
"1","1","Abzan Falconer","znc","Near Mint","English","","","2023-05-11 04:38:36.217000","9","False","False",""
"4","4","Academic Dispute","stx","Near Mint","English","","","2023-05-11 03:39:29.403000","91","False","False",""
"2","2","Academy Elite","c16","Near Mint","English","","","2023-05-11 03:39:29.403000","81","False","False",""
"1","1","Academy Manufactor","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","219","False","False",""
"1","1","Academy Manufactor","moc","Near Mint","English","","","2023-05-11 04:09:20.553000","346","False","False",""
"1","1","Access Denied","nec","Near Mint","English","","","2023-05-11 04:31:54.087000","11","False","False",""
"1","1","Acclaimed Contender","moc","Near Mint","English","","","2023-05-11 04:13:06.887000","166","False","False",""
"2","2","Accomplished Alchemist","stx","Near Mint","English","","","2023-05-11 03:39:29.403000","119","False","False",""
"3","3","Accursed Horde","gn2","Near Mint","English","","","2023-05-11 03:39:29.403000","26","False","False",""
"1","1","Acid Web Spider","som","Near Mint","English","","","2023-05-11 03:39:29.403000","108","False","False",""
"1","1","Acidic Slime","c20","Near Mint","English","","","2023-05-11 04:39:50.937000","165","False","False",""
"1","1","Acidic Slime","znc","Near Mint","English","","","2023-05-11 04:38:36.217000","59","False","False",""
"1","1","Acidic Slime","cmr","Near Mint","English","","","2023-05-11 04:38:03.290000","421","False","False",""
"1","1","Acidic Slime","afc","Near Mint","English","","","2023-05-11 04:34:00.793000","151","False","False",""
"5","5","Acidic Slime","nec","Near Mint","English","","","2023-05-11 03:39:29.403000","112","False","False",""
"1","1","Acolyte Hybrid","40k","Near Mint","English","foil","","2023-05-11 04:16:48.350000","70★","False","False",""
"1","1","Acolyte of Xathrid","m10","Near Mint","English","","","2023-05-11 03:39:29.403000","83","False","False",""
"2","2","Act of Aggression","c15","Near Mint","English","","","2023-05-11 03:39:29.403000","141","False","False",""
"15","15","Act of Treason","jmp","Near Mint","English","","","2023-05-11 03:39:29.403000","289","False","False",""
"1","1","Activated Sleeper","dmc","Near Mint","English","","","2023-05-11 03:39:29.403000","24","False","False",""
"1","1","Adamant Will","vow","Near Mint","English","","","2023-05-11 03:39:29.403000","1","False","False",""
"1","1","Adaptive Automaton","2xm","Near Mint","English","","","2023-05-11 03:39:29.403000","231","False","False",""
"2","2","Adaptive Sporesinger","one","Near Mint","English","","","2023-05-11 03:39:29.403000","157","False","False",""
"1","1","Adeline, Resplendent Cathar","moc","Near Mint","English","","","2023-05-11 04:13:06.887000","167","False","False",""
"1","1","Admonition Angel","znc","Near Mint","English","","","2023-05-11 04:38:36.217000","10","False","False",""
"1","1","Adriana, Captain of the Guard","c20","Near Mint","English","","","2023-05-11 04:39:17.023000","200","False","False",""
"1","1","Adriana, Captain of the Guard","dmc","Near Mint","English","","","2023-05-11 04:24:45.397000","139","False","False",""
"1","1","Adriana, Captain of the Guard","onc","Near Mint","English","","","2023-05-11 04:13:57.707000","114","False","False",""
"1","1","Adrix and Nev, Twincasters","c21","Near Mint","English","foil","","2023-05-11 04:36:32.777000","9","False","False",""
"11","11","Advanced Stitchwing","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","36","False","False",""
"3","3","Aegis Angel","e01","Near Mint","English","","","2023-05-11 03:39:29.403000","1","False","False",""
"1","1","Aeon Engine","c19","Near Mint","English","","","2023-05-11 04:41:36.233000","52","False","False",""
"1","1","Aerial Extortionist","ncc","Near Mint","English","","","2023-05-11 04:29:11.077000","11","False","False",""
"1","1","Aerial Responder","c20","Near Mint","English","","","2023-05-11 04:39:50.937000","72","False","False",""
"1","1","Aerial Surveyor","nec","Near Mint","English","","","2023-05-11 04:31:54.087000","5","False","False",""
"7","7","Aeromoeba","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","37","False","False",""
